"List","Card Name","Labels","Description"
"Backlog","US18-T01 — Alterar schema da tabela imoveis","","User Story: US18 — Localização do imóvel e HSP | Épico: E1 - Recurso solar / consumo | Prioridade: Must | Dependências: US01 | Task: Adicionar os campos cidade, UF e HSP manual opcional ao schema da tabela de imóveis e criar a migração necessária."
"Backlog","US18-T02 — Atualizar cadastro/edição do imóvel com cidade e UF","","User Story: US18 — Localização do imóvel e HSP | Épico: E1 - Recurso solar / consumo | Prioridade: Must | Dependências: US01 | Task: Atualizar telas e endpoints de cadastro e edição para coletar cidade e UF e orientar imóveis antigos que ainda não possuem esses dados."
"Backlog","US18-T03 — Criar dataset hsp_cidades.csv","","User Story: US18 — Localização do imóvel e HSP | Épico: E1 - Recurso solar / consumo | Prioridade: Must | Dependências: US01 | Task: Criar o dataset com cidade, UF, latitude, longitude, HSP, fonte e data da consulta, mantendo as fontes técnicas documentadas."
"Backlog","US18-T04 — Implementar consulta de HSP e fallback por UF","","User Story: US18 — Localização do imóvel e HSP | Épico: E1 - Recurso solar / consumo | Prioridade: Must | Dependências: US01 | Task: Implementar a busca automática de HSP por cidade, fallback para referência da UF e possibilidade de informar o valor manualmente."
"Backlog","US18-T05 — Escrever testes da consulta de HSP","","User Story: US18 — Localização do imóvel e HSP | Épico: E1 - Recurso solar / consumo | Prioridade: Must | Dependências: US01 | Task: Testar consulta por cidade, fallback por UF, entrada manual e rejeição de valores de HSP inválidos."
"Backlog","US19-T01 — Expor consumo de referência no backend","","User Story: US19 — Consumo de referência | Épico: E1 - Recurso solar / consumo | Prioridade: Must | Dependências: US01, US02, US03, US04, US05 | Task: Disponibilizar no backend o consumo mensal de referência obtido a partir da vw_consumo_imovel, em kWh/mês."
"Backlog","US19-T02 — Criar campo de consumo manual","","User Story: US19 — Consumo de referência | Épico: E1 - Recurso solar / consumo | Prioridade: Must | Dependências: US01, US02, US03, US04, US05 | Task: Criar campo opcional para o usuário informar manualmente a média mensal de consumo, com schema, endpoint e interface."
"Backlog","US19-T03 — Implementar precedência entre consumo estimado e manual","","User Story: US19 — Consumo de referência | Épico: E1 - Recurso solar / consumo | Prioridade: Must | Dependências: US01, US02, US03, US04, US05 | Task: Definir e implementar qual valor deve prevalecer quando existir consumo estimado e consumo manual, registrando também a origem do valor usado."
"Backlog","US19-T04 — Escrever testes das origens do consumo","","User Story: US19 — Consumo de referência | Épico: E1 - Recurso solar / consumo | Prioridade: Must | Dependências: US01, US02, US03, US04, US05 | Task: Testar consumo estimado, consumo manual, prioridade entre as duas fontes e bloqueio do dimensionamento quando não houver valor válido."
"Backlog","US20-T01 — Criar campos de f, η e D","","User Story: US20 — Parâmetros do dimensionamento | Épico: E2 - Dimensionamento FV | Prioridade: Must | Dependências: US19 | Task: Adicionar à interface os parâmetros de percentual de atendimento, fator global de desempenho e número de dias usados no cálculo."
"Backlog","US20-T02 — Centralizar parâmetros em arquivo de configuração","","User Story: US20 — Parâmetros do dimensionamento | Épico: E2 - Dimensionamento FV | Prioridade: Must | Dependências: US19 | Task: Colocar os parâmetros técnicos em um único arquivo de configuração com valores padrão e comentários sobre a origem de cada parâmetro."
"Backlog","US20-T03 — Implementar validação das faixas","","User Story: US20 — Parâmetros do dimensionamento | Épico: E2 - Dimensionamento FV | Prioridade: Must | Dependências: US19 | Task: Validar no frontend e backend as faixas permitidas para f, η e D e retornar HTTP 422 quando houver valor inválido."
"Backlog","US20-T04 — Escrever testes dos parâmetros","","User Story: US20 — Parâmetros do dimensionamento | Épico: E2 - Dimensionamento FV | Prioridade: Must | Dependências: US19 | Task: Criar testes para valores padrão, limites mínimo e máximo e valores fora das faixas dos parâmetros."
"Backlog","US21-T01 — Implementar cálculo de E_FV","","User Story: US21 — Cálculo da energia e potência FV | Épico: E2 - Dimensionamento FV | Prioridade: Must | Dependências: US18, US19, US20 | Task: Implementar o cálculo da energia mensal desejada pela fórmula E_FV = C_m × f, usando kWh/mês."
"Backlog","US21-T02 — Implementar cálculo de P_FV","","User Story: US21 — Cálculo da energia e potência FV | Épico: E2 - Dimensionamento FV | Prioridade: Must | Dependências: US18, US19, US20 | Task: Implementar o cálculo da potência fotovoltaica necessária pela fórmula P_FV = E_FV / (HSP × D × η), com unidades e arredondamento corretos."
"Backlog","US21-T03 — Criar endpoint dimensionar_fv","","User Story: US21 — Cálculo da energia e potência FV | Épico: E2 - Dimensionamento FV | Prioridade: Must | Dependências: US18, US19, US20 | Task: Criar o endpoint responsável por receber os parâmetros do dimensionamento, validar os dados e retornar os resultados de geração."
"Backlog","US21-T04 — Escrever testes do dimensionamento","","User Story: US21 — Cálculo da energia e potência FV | Épico: E2 - Dimensionamento FV | Prioridade: Must | Dependências: US18, US19, US20 | Task: Testar o caso de referência do enunciado, limites dos parâmetros, dados ausentes e situações que poderiam causar divisão por zero."
"Backlog","US22-T01 — Definir schema do dataset de módulos","","User Story: US22 — Dataset de módulos fotovoltaicos | Épico: E3 - Datasets | Prioridade: Must | Dependências: Nenhuma | Task: Definir a estrutura e o dicionário de dados do dataset, incluindo campos técnicos, preço, fonte e unidade de cada atributo."
"Backlog","US22-T02 — Coletar dados técnicos e preços","","User Story: US22 — Dataset de módulos fotovoltaicos | Épico: E3 - Datasets | Prioridade: Must | Dependências: Nenhuma | Task: Coletar dados de datasheets reais e preços de fornecedores, registrando fonte e data da consulta."
"Backlog","US22-T03 — Criar paineis.csv","","User Story: US22 — Dataset de módulos fotovoltaicos | Épico: E3 - Datasets | Prioridade: Must | Dependências: Nenhuma | Task: Montar o arquivo paineis.csv com pelo menos os módulos exigidos, fabricantes distintos e todos os campos obrigatórios."
"Backlog","US22-T04 — Implementar carregador e validação","","User Story: US22 — Dataset de módulos fotovoltaicos | Épico: E3 - Datasets | Prioridade: Must | Dependências: Nenhuma | Task: Criar o carregador do dataset e validar colunas, tipos, valores positivos e IDs duplicados, informando a linha com problema."
"Backlog","US22-T05 — Escrever testes do carregador","","User Story: US22 — Dataset de módulos fotovoltaicos | Épico: E3 - Datasets | Prioridade: Must | Dependências: Nenhuma | Task: Testar carregamento de arquivos válidos e rejeição de arquivos com coluna ausente, dados inválidos ou IDs duplicados."
"Backlog","US23-T01 — Definir schema dos inversores","","User Story: US23 — Dataset de inversores | Épico: E3 - Datasets | Prioridade: Must | Dependências: Nenhuma | Task: Definir os campos técnicos necessários para validar potência, tensão, MPPT, corrente, tipo de inversor e compatibilidade com baterias."
"Backlog","US23-T02 — Coletar dados técnicos e preços","","User Story: US23 — Dataset de inversores | Épico: E3 - Datasets | Prioridade: Must | Dependências: Nenhuma | Task: Coletar dados de datasheets reais e preços de fornecedores, registrando fonte e data da consulta."
"Backlog","US23-T03 — Criar inversores.csv","","User Story: US23 — Dataset de inversores | Épico: E3 - Datasets | Prioridade: Must | Dependências: Nenhuma | Task: Montar o arquivo inversores.csv com modelos reais, diferentes potências e pelo menos um inversor híbrido."
"Backlog","US23-T04 — Implementar carregador e validação","","User Story: US23 — Dataset de inversores | Épico: E3 - Datasets | Prioridade: Must | Dependências: Nenhuma | Task: Validar o dataset de inversores, incluindo a regra de que campos de bateria podem ficar vazios apenas em inversores on-grid."
"Backlog","US23-T05 — Escrever testes do carregador","","User Story: US23 — Dataset de inversores | Épico: E3 - Datasets | Prioridade: Must | Dependências: Nenhuma | Task: Testar modelos válidos e rejeição de valores inválidos, colunas ausentes e IDs duplicados, incluindo a regra on-grid/híbrido."
"Backlog","US24-T01 — Definir schema das baterias","","User Story: US24 — Dataset de baterias | Épico: E3 - Datasets | Prioridade: Must | Dependências: Nenhuma | Task: Definir estrutura e dicionário de dados para tecnologia, capacidade, DoD, tensão, correntes, eficiência, preço e fontes."
"Backlog","US24-T02 — Coletar dados técnicos e preços","","User Story: US24 — Dataset de baterias | Épico: E3 - Datasets | Prioridade: Must | Dependências: Nenhuma | Task: Coletar dados reais de baterias, preferencialmente LiFePO4, a partir de datasheets e fornecedores, registrando fontes e datas."
"Backlog","US24-T03 — Criar baterias.csv","","User Story: US24 — Dataset de baterias | Épico: E3 - Datasets | Prioridade: Must | Dependências: Nenhuma | Task: Criar o arquivo baterias.csv com os modelos exigidos e todos os campos obrigatórios."
"Backlog","US24-T04 — Implementar carregador e validação","","User Story: US24 — Dataset de baterias | Épico: E3 - Datasets | Prioridade: Must | Dependências: Nenhuma | Task: Implementar o carregador e validar tipos, valores, DoD, eficiência e IDs duplicados."
"Backlog","US24-T05 — Escrever testes do carregador","","User Story: US24 — Dataset de baterias | Épico: E3 - Datasets | Prioridade: Must | Dependências: Nenhuma | Task: Testar arquivos válidos e rejeição de dados fora da faixa, campos inválidos e IDs duplicados."
"Backlog","US25-T01 — Implementar cálculo de quantidade e potência instalada","","User Story: US25 — Seleção de módulos | Épico: E4 - Equipamentos / compatibilidade | Prioridade: Must | Dependências: US21, US22 | Task: Calcular N = teto(P_FV × 1000 / P_módulo) e P_instalada = N × P_módulo / 1000 para cada módulo candidato."
"Backlog","US25-T02 — Implementar ranking dos módulos","","User Story: US25 — Seleção de módulos | Épico: E4 - Equipamentos / compatibilidade | Prioridade: Must | Dependências: US21, US22 | Task: Comparar módulos candidatos e aplicar o critério documentado de recomendação pelo menor custo total do arranjo, mantendo alternativas disponíveis."
"Backlog","US25-T03 — Criar interface de escolha do módulo","","User Story: US25 — Seleção de módulos | Épico: E4 - Equipamentos / compatibilidade | Prioridade: Must | Dependências: US21, US22 | Task: Exibir fabricante, modelo, potência, quantidade, potência instalada, custo e permitir que o usuário selecione outra alternativa."
"Backlog","US25-T04 — Escrever testes do cálculo e arredondamento","","User Story: US25 — Seleção de módulos | Épico: E4 - Equipamentos / compatibilidade | Prioridade: Must | Dependências: US21, US22 | Task: Validar o cálculo da quantidade com arredondamento para cima e conferir a potência instalada no caso de referência."
